key,name_ko,name_en,description,source_status,source_url
hoedeopbap,회덮밥,Raw Fish Rice Bowl,한식진흥원 정밀레시피 기준 (18종 원재료),public_recipe,https://www.hansik.or.kr/
multigrain_rice,잡곡밥,Multigrain Rice,한식진흥원 정밀레시피 기준 (4종 원재료),public_recipe,https://www.hansik.or.kr/
japchae_rice_bowl,잡채덮밥,Japchae Rice Bowl,한식진흥원 정밀레시피 기준 (21종 원재료),public_recipe,https://www.hansik.or.kr/
barley_rice,보리밥,Barley Rice,한식진흥원 정밀레시피 기준 (2종 원재료),public_recipe,https://www.hansik.or.kr/
gondre_namul_bap,곤드레나물밥,Gondre Herb Rice,한식진흥원 정밀레시피 기준 (11종 원재료),public_recipe,https://www.hansik.or.kr/
gimbap,김밥,Gimbap (Seaweed Rice Roll),한식진흥원 정밀레시피 기준 (20종 원재료),public_recipe,https://www.hansik.or.kr/
squid_rice_bowl,오징어덮밥,Spicy Squid Rice Bowl,한식진흥원 정밀레시피 기준 (21종 원재료),public_recipe,https://www.hansik.or.kr/
octopus_rice_bowl,낙지덮밥,Spicy Octopus Rice Bowl,한식진흥원 정밀레시피 기준 (19종 원재료),public_recipe,https://www.hansik.or.kr/
kimchi_fried_rice,김치볶음밥,Kimchi Fried Rice,한식진흥원 정밀레시피 기준 (10종 원재료),public_recipe,https://www.hansik.or.kr/
jokbal,족발,Braised Pig Trotters,"간장·한약재에 조린 돼지 족발. 마늘소스·새우젓·쌈장을 곁들임 — AI 작성 초안 — 공개 레시피 DB 미수록, 사람 검증 필요",cooking_pattern,
makguksu,막국수,Buckwheat Noodles,"메밀면에 새콤한 양념장을 비벼 먹는 국수 — AI 작성 초안 — 공개 레시피 DB 미수록, 사람 검증 필요",cooking_pattern,
namulbibimbap,나물비빔밥,Namulbibimbap,EPIS 레시피 DB 밥 (RECIPE_ID 1) · 재료 16종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
yaksik,약식,Yaksik,EPIS 레시피 DB 떡/한과 (RECIPE_ID 5) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
hobakjuk,호박죽,Hobakjuk,EPIS 레시피 DB 밥 (RECIPE_ID 6) · 재료 4종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
heukimjajuk,흑임자죽,Heukimjajuk,EPIS 레시피 DB 밥 (RECIPE_ID 7) · 재료 4종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
gamjasujebi,감자수제비,Gamjasujebi,EPIS 레시피 DB 만두/면류 (RECIPE_ID 10) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
naengmyeon,냉면,Naengmyeon,EPIS 레시피 DB 만두/면류 (RECIPE_ID 11) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dongchimimakguksu,동치미막국수,Dongchimimakguksu,EPIS 레시피 DB 만두/면류 (RECIPE_ID 12) · 재료 12종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
yeolmugimchinaengmyeon,열무김치냉면,Yeolmugimchinaengmyeon,EPIS 레시피 DB 만두/면류 (RECIPE_ID 13) · 재료 12종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
chaesoguksu,채소국수,Chaesoguksu,EPIS 레시피 DB 만두/면류 (RECIPE_ID 14) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
haemulguksu,해물국수,Haemulguksu,EPIS 레시피 DB 만두/면류 (RECIPE_ID 15) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
mandutguk,만둣국,Mandutguk,EPIS 레시피 DB 만두/면류 (RECIPE_ID 16) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dasimanaengguk,다시마냉국,Dasimanaengguk,EPIS 레시피 DB 국 (RECIPE_ID 17) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dubuguk,두부국,Dubuguk,EPIS 레시피 DB 국 (RECIPE_ID 18) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dubujogaetang,두부조개탕,Dubujogaetang,EPIS 레시피 DB 국 (RECIPE_ID 19) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
mumakeunguk,무맑은국,Mumakeunguk,EPIS 레시피 DB 국 (RECIPE_ID 20) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
miyeoknaengguk,미역냉국,Miyeoknaengguk,EPIS 레시피 DB 국 (RECIPE_ID 22) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
saengtaeguk,생태국,Saengtaeguk,EPIS 레시피 DB 국 (RECIPE_ID 23) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
oinaengguk,오이냉국,Oinaengguk,EPIS 레시피 DB 국 (RECIPE_ID 25) · 재료 10종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
soegogisanjeok,쇠고기산적,Soegogisanjeok,EPIS 레시피 DB 구이 (RECIPE_ID 29) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
soegogiyangsongibokeum,쇠고기양송이볶음,Soegogiyangsongibokeum,EPIS 레시피 DB 볶음 (RECIPE_ID 30) · 재료 12종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
patguksu,팥국수,Patguksu,EPIS 레시피 DB 만두/면류 (RECIPE_ID 31) · 재료 4종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kongnamulmuchim,콩나물무침,Kongnamulmuchim,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 35) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
ueongjorim,우엉조림,Ueongjorim,EPIS 레시피 DB 조림 (RECIPE_ID 36) · 재료 5종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
myeolchibokeum,멸치볶음,Myeolchibokeum,EPIS 레시피 DB 볶음 (RECIPE_ID 38) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
galchimujorim,갈치무조림,Galchimujorim,EPIS 레시피 DB 조림 (RECIPE_ID 39) · 재료 13종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dakbulgogi,닭불고기,Dakbulgogi,EPIS 레시피 DB 볶음 (RECIPE_ID 40) · 재료 9종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dubudasimamali,두부다시마말이,Dubudasimamali,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 41) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
patkalguksu,팥칼국수,Patkalguksu,EPIS 레시피 DB 만두/면류 (RECIPE_ID 42) · 재료 4종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
kongnamuljapchae,콩나물잡채,Kongnamuljapchae,EPIS 레시피 DB 나물/생채/샐러드 (RECIPE_ID 43) · 재료 16종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
yangbaechumalijjim,양배추말이찜,Yangbaechumalijjim,EPIS 레시피 DB 찜 (RECIPE_ID 44) · 재료 13종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
maneuljangajji,마늘장아찌,Maneuljangajji,EPIS 레시피 DB 밑반찬/김치 (RECIPE_ID 45) · 재료 4종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
ojingeobulgogi,오징어불고기,Ojingeobulgogi,EPIS 레시피 DB 볶음 (RECIPE_ID 46) · 재료 11종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
galbigui,갈비구이,Galbigui,EPIS 레시피 DB 구이 (RECIPE_ID 48) · 재료 16종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
galbijjim,갈비찜,Galbijjim,EPIS 레시피 DB 찜 (RECIPE_ID 50) · 재료 18종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
jeyukbossam,제육보쌈,Jeyukbossam,EPIS 레시피 DB 찜 (RECIPE_ID 51) · 재료 14종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
honghapkkochigui,홍합꼬치구이,Honghapkkochigui,EPIS 레시피 DB 구이 (RECIPE_ID 52) · 재료 12종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
cheonggukjangjjigae,청국장찌개,Cheonggukjangjjigae,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 53) · 재료 8종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
dongtaejjigae,동태찌개,Dongtaejjigae,EPIS 레시피 DB 찌개/전골/스튜 (RECIPE_ID 55) · 재료 12종,public_recipe,https://www.data.go.kr/data/15058981/openapi.do
