pattern_key,ingredient_key,presence,role
kimchi_fried_rice,pork,always,main
kimchi_fried_rice,carrot,always,main
kimchi_fried_rice,onion,always,main
kimchi_fried_rice,egg,always,main
kimchi_fried_rice,cooking_oil,always,sauce
kimchi_fried_rice,soy_sauce,always,sauce
kimchi_fried_rice,salt,always,sauce
kimchi_fried_rice,black_pepper,always,sauce
jokbal,pork_trotter,always,main
jokbal,soy_sauce,always,sauce
jokbal,garlic,always,sauce
jokbal,ginger,usually,sauce
jokbal,green_onion,usually,sauce
jokbal,sugar,usually,sauce
jokbal,corn_syrup,usually,sauce
jokbal,saeujeot,usually,sauce
jokbal,ssamjang,sometimes,sauce
jokbal,lettuce,usually,main
jokbal,perilla_leaf,usually,main
jokbal,green_chili,sometimes,garnish
makguksu,buckwheat_noodles,always,main
makguksu,gochujang,always,sauce
makguksu,vinegar,always,sauce
makguksu,sugar,always,sauce
makguksu,sesame_oil,always,sauce
makguksu,sesame_seed,always,garnish
makguksu,soy_sauce,usually,sauce
makguksu,gochugaru,usually,sauce
makguksu,cucumber,usually,main
makguksu,seaweed_gim,usually,garnish
makguksu,cabbage,sometimes,main
makguksu,young_radish,sometimes,main
makguksu,egg,sometimes,main
gamjatang,pork_backbone,always,main
gamjatang,potato,always,main
gamjatang,ugeoji,always,main
gamjatang,perilla_seed,always,sauce
gamjatang,gochugaru,always,sauce
gamjatang,garlic,always,sauce
gamjatang,doenjang,usually,sauce
gamjatang,gochujang,usually,sauce
gamjatang,green_onion,usually,main
gamjatang,perilla_leaf,usually,main
gamjatang,glass_noodles,sometimes,main
gamjatang,green_chili,sometimes,garnish
