pattern_key,ingredient_key,presence,role
sundubu_jjigae,soy_sauce,sometimes,sauce
sundubu_jjigae,zucchini,sometimes,main
sundubu_jjigae,green_chili,usually,main
sundubu_jjigae,doenjang,sometimes,main
sundubu_jjigae,kelp_broth,sometimes,broth
bossam,pork,always,main
bossam,napa_cabbage,sometimes,main
bossam,salt,sometimes,main
bossam,radish,usually,sauce
bossam,water_parsley,usually,sauce
bossam,green_onion,sometimes,sauce
bossam,garlic,usually,sauce
bossam,ginger,usually,sauce
bossam,saeujeot,sometimes,sauce
bossam,pear,sometimes,main
bossam,chestnut,sometimes,main
bossam,carrot,usually,main
bossam,onion,usually,sauce
bossam,bell_pepper,sometimes,sauce
bossam,pine_nut,sometimes,sauce
bossam,anchovy_sauce,sometimes,sauce
bossam,gochugaru,sometimes,sauce
bossam,mushroom,sometimes,sauce
bossam,anchovy,sometimes,sauce
bossam,cucumber,sometimes,main
bossam,vinegar,sometimes,main
bossam,sugar,sometimes,main
bossam,green_chili,sometimes,main
bossam,red_chili,sometimes,main
deulkkae_tang,perilla_seed,always,sauce
deulkkae_tang,webfoot_octopus,sometimes,main
deulkkae_tang,abalone,sometimes,main
deulkkae_tang,shrimp,sometimes,main
deulkkae_tang,onion,usually,main
deulkkae_tang,green_chili,usually,main
deulkkae_tang,red_chili,usually,main
deulkkae_tang,egg,sometimes,main
deulkkae_tang,cooking_wine,sometimes,main
deulkkae_tang,soy_sauce,sometimes,broth
deulkkae_tang,garlic,usually,broth
deulkkae_tang,green_onion,usually,broth
deulkkae_tang,pollock,sometimes,main
deulkkae_tang,radish,sometimes,main
deulkkae_tang,lotus_root,sometimes,main
deulkkae_tang,zucchini,sometimes,main
deulkkae_tang,burdock,usually,main
deulkkae_tang,mushroom,usually,main
deulkkae_tang,crown_daisy,sometimes,main
deulkkae_tang,anchovy,sometimes,main
deulkkae_tang,kelp_broth,sometimes,main
deulkkae_tang,ginger,sometimes,main
deulkkae_tang,black_pepper,sometimes,main
deulkkae_tang,salt,usually,main
deulkkae_tang,rice_cake,sometimes,main
deulkkae_tang,perilla_oil,sometimes,main
samgyetang,chicken,always,main
samgyetang,pumpkin_leaf,sometimes,main
samgyetang,glutinous_rice,sometimes,main
samgyetang,jujube,sometimes,main
samgyetang,water_parsley,sometimes,main
samgyetang,salt,sometimes,main
samgyetang,black_pepper,sometimes,main
samgyetang,ginkgo_nut,sometimes,main
samgyetang,sweet_pumpkin,sometimes,main
samgyetang,asparagus,sometimes,main
samgyetang,garlic,sometimes,main
samgyetang,rice,sometimes,main
samgyetang,green_onion,sometimes,broth
dakgalbi,chicken,always,main
dakgalbi,gochujang,always,sauce
dakgalbi,garlic,sometimes,main
dakgalbi,perilla_leaf,sometimes,main
dakgalbi,green_onion,sometimes,main
dakgalbi,bell_pepper,sometimes,main
dakgalbi,onion,sometimes,main
dakgalbi,tomato,sometimes,main
dakgalbi,ramyeon_noodles,sometimes,main
dakgalbi,curry_powder,sometimes,sauce
dakgalbi,gochugaru,sometimes,sauce
dakgalbi,sesame_oil,sometimes,sauce
dakgalbi,ginger,sometimes,main
dakgalbi,carrot,sometimes,main
dakgalbi,cabbage,sometimes,main
dakgalbi,sweet_potato,sometimes,main
dakgalbi,plum_syrup,sometimes,sauce
jeongol,pork,sometimes,main
jeongol,wheat_noodles,sometimes,main
jeongol,water_parsley,sometimes,main
jeongol,green_chili,sometimes,main
jeongol,doenjang,sometimes,sauce
jeongol,garlic,sometimes,sauce
jeongol,green_onion,sometimes,sauce
jeongol,cooking_wine,sometimes,sauce
jeongol,radish,sometimes,sauce
jeongol,soy_sauce,sometimes,broth
jeongol,black_pepper,sometimes,main
jeongol,mushroom,sometimes,main
jeongol,carrot,sometimes,main
jeongol,napa_cabbage,sometimes,main
jeongol,bok_choy,sometimes,main
jeongol,zucchini,sometimes,main
jeongol,mung_bean_sprout,sometimes,main
jeongol,mustard_powder,sometimes,sauce
jeongol,vinegar,sometimes,sauce
jeongol,sesame_seed,sometimes,sauce
mu_guk,radish,always,main
mu_guk,pollock,sometimes,main
mu_guk,tofu,sometimes,main
mu_guk,hamcho,sometimes,main
mu_guk,green_chili,sometimes,main
mu_guk,red_chili,sometimes,main
mu_guk,green_onion,sometimes,main
mu_guk,black_pepper,sometimes,main
mu_guk,fish_sauce_eo,sometimes,main
mu_guk,beef,sometimes,main
mu_guk,mushroom,sometimes,main
mu_guk,mung_bean_sprout,sometimes,main
mu_guk,soy_sauce,sometimes,main
yukgaejang,beef,always,main
yukgaejang,mung_bean_sprout,sometimes,main
yukgaejang,mushroom,sometimes,main
yukgaejang,onion,sometimes,main
yukgaejang,green_onion,sometimes,main
yukgaejang,green_chili,sometimes,main
yukgaejang,napa_cabbage,sometimes,main
yukgaejang,radish,sometimes,broth
yukgaejang,pork,sometimes,broth
yukgaejang,kelp_broth,sometimes,broth
yukgaejang,cooking_wine,sometimes,broth
yukgaejang,shrimp,sometimes,broth
yukgaejang,gochugaru,sometimes,sauce
yukgaejang,perilla_seed,sometimes,sauce
yukgaejang,garlic,sometimes,sauce
yukgaejang,doenjang,sometimes,sauce
yukgaejang,bracken,sometimes,main
yukgaejang,salt,sometimes,main
yukgaejang,black_pepper,sometimes,sauce
kalguksu,wheat_noodles,always,main
kalguksu,wheat_flour,sometimes,main
kalguksu,salt,sometimes,main
kalguksu,starch,sometimes,main
kalguksu,zucchini,sometimes,main
kalguksu,mushroom,sometimes,main
kalguksu,onion,sometimes,main
kalguksu,green_onion,sometimes,main
kalguksu,mussel,sometimes,main
kalguksu,shrimp,sometimes,main
kalguksu,sea_squirt,sometimes,main
kalguksu,soy_sauce,sometimes,main
kalguksu,anchovy,sometimes,broth
kalguksu,kelp_broth,sometimes,broth
kalguksu,radish,sometimes,broth
kalguksu,garlic,sometimes,broth
kalguksu,cooking_oil,sometimes,main
kalguksu,egg,sometimes,main
kalguksu,red_chili,sometimes,main
kalguksu,perilla_seed,sometimes,main
white_rice,rice,always,main
nurungji,rice,always,main
jumeokbap,rice,always,main
jumeokbap,sesame_oil,always,sauce
jumeokbap,anchovy,always,main
jumeokbap,sesame_seed,always,garnish
jumeokbap,seaweed_gim,always,main
jumeokbap,burdock,always,main
jumeokbap,soy_sauce,always,sauce
