key,name,name_ko,address,latitude,longitude,category,description,source_status,source_url,collected_at,collected_by,is_active,_keep,_rank,_area_m2,_dist_m,_permit_year,_phone,_lot_address
,,경복궁서교점(주)엔타스,서울특별시 마포구 월드컵북로 37 (서교동),37.557625,126.918174,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,1,846.24,650,1999,02-3143-7071,서울특별시 마포구 서교동 449-13
,,노이즈베이스먼트투(nb2),"서울특별시 마포구 와우산로 72, 지하1~2층 (서교동)",37.550855,126.923517,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,2,516.94,684,2017,,서울특별시 마포구 서교동 361-10 지하1~2층
,,토끼정,"서울특별시 마포구 잔다리로2길 13, 지1층,1층,2층,3층 (서교동)",37.551714,126.920684,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,3,457.56,693,2016,,서울특별시 마포구 서교동 366-4
,,소담촌(홍대서교점),"서울특별시 마포구 월드컵북로5길 12, 도경빌딩 1층 (서교동)",37.557407,126.917918,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,4,389.35,677,2024,,서울특별시 마포구 서교동 449-26 도경빌딩
,,오다리집&대장금,"서울특별시 마포구 잔다리로6길 36, 동천빌딩 2,3층 (서교동)",37.552233,126.921207,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,5,384.16,613,2025,,서울특별시 마포구 서교동 366-1 동천빌딩
,,김앤김대게,"서울특별시 마포구 양화로 100 (서교동, 3층)",37.552675,126.918728,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,6,353.38,757,2006,,서울특별시 마포구 서교동 372-1
,,송가네감자탕,"서울특별시 마포구 동교로 245, 지1, 1층,2층 (연남동)",37.561996,126.923936,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,7,318.42,555,2020,,서울특별시 마포구 연남동 258-10
,,도깨비집 홍대,"서울특별시 마포구 와우산로 71, 1,2층 (서교동)",37.550883,126.922852,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,8,314.2,691,2026,,서울특별시 마포구 서교동 363-2
,,푸주옥,"서울특별시 마포구 월드컵북로 35, 1층 (서교동)",37.55748,126.918308,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,9,307.18,634,2025,,서울특별시 마포구 서교동 449-14
,,푸주옥,"서울특별시 마포구 월드컵북로 35, 1층 (서교동)",37.55748,126.918308,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,10,307.18,634,2025,,서울특별시 마포구 서교동 449-14
,,추파,"서울특별시 마포구 홍익로3길 44, 호곡빌딩 4층 (서교동)",37.552632,126.921397,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,11,306.72,564,2023,,서울특별시 마포구 서교동 369-4 호곡빌딩
,,강강술래홍대점,"서울특별시 마포구 잔다리로6길 25, 재륜빌딩 지상1층 (서교동)",37.55238,126.920482,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,12,306.11,645,2012,,서울특별시 마포구 서교동 369-10 재륜빌딩
,,시선 홍대점,"서울특별시 마포구 와우산로17길 6 (서교동, (1~2층))",37.550271,126.922667,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,13,258.29,761,2010,,서울특별시 마포구 서교동 407-4
,,하와이조개,"서울특별시 마포구 와우산로21길 19-8, 태경빌딩 지하1층 (서교동)",37.552077,126.922676,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,14,255.68,566,2022,,서울특별시 마포구 서교동 364-2 태경빌딩
,,일편장어,"서울특별시 마포구 양화로16길 15, 무광빌딩 2층 201호 (서교동)",37.553296,126.92066,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,15,253.66,554,2024,,서울특별시 마포구 서교동 355-15 무광빌딩
,,강남 돼지상회 무한리필 홍대점,"서울특별시 마포구 홍익로5안길 28, 1층 101호 (서교동)",37.553669,126.921148,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,16,248.73,487,2015,,서울특별시 마포구 서교동 355-28 1층 101호
,,우물집,"서울특별시 마포구 와우산로29마길 8, 1,2,3,4층 (서교동)",37.555749,126.926636,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,17,248.0,324,2023,,서울특별시 마포구 서교동 332-6
,,돈수백,"서울특별시 마포구 홍익로6길 74, 1,2층 (동교동)",37.556929,126.925275,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,18,241.84,142,2003,,서울특별시 마포구 동교동 168-3
,,팔로우,"서울특별시 마포구 와우산로 67, 지하2층 (서교동)",37.550554,126.922843,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,19,234.39,727,2022,,서울특별시 마포구 서교동 407-1
,,오키도키 2호점,"서울특별시 마포구 와우산로17길 14, 2층 (서교동)",37.550351,126.922141,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,20,219.99,766,2023,,서울특별시 마포구 서교동 407-12
jokbal_yasijang,Jokbal Yasijang & Mucheong Gamjatang,족발야시장&무청감자탕 홍대점,"서울특별시 마포구 잔다리로 14, 2층 (서교동)",37.551059,126.921647,Korean - Jokbal & Bossam,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,y,21,215.48,709,2023,,서울특별시 마포구 서교동 363-14
,,족발야시장&무청감자탕 홍대점,"서울특별시 마포구 잔다리로 14, 2층 (서교동)",37.551059,126.921647,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,22,215.48,709,2023,,서울특별시 마포구 서교동 363-14
,,오키도키 1호점,"서울특별시 마포구 와우산로17길 15, 서교동빌딩 2층 (서교동)",37.550056,126.922111,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,23,207.45,799,2025,,서울특별시 마포구 서교동 409-1 서교동빌딩
,,(주)21세기바다수산,"서울특별시 마포구 동교로 173, 1,2층 (동교동)",37.556363,126.920981,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,24,206.5,342,2018,,서울특별시 마포구 동교동 206-5
,,교동집,"서울특별시 마포구 동교로 208 (동교동,1,2층)",37.558519,126.923635,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,25,206.46,173,2004,023373663,"서울특별시 마포구 동교동 153-8 1,2층"
,,홍대게장집,"서울특별시 마포구 홍익로5길 31, 2층 (서교동)",37.553639,126.920931,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,26,195.62,505,2026,,서울특별시 마포구 서교동 355-29
,,홍대게장집,"서울특별시 마포구 홍익로5길 31, 2층 (서교동)",37.553639,126.920931,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,27,195.62,505,2026,,서울특별시 마포구 서교동 355-29
,,칼누들바 홍대점,"서울특별시 마포구 잔다리로 14, 1층 (서교동)",37.551059,126.921647,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,28,183.32,709,2023,,서울특별시 마포구 서교동 363-14
,,라밤바,"서울특별시 마포구 와우산로19길 5 (서교동, 1층, 지하1층)",37.551018,126.922794,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,29,182.8,677,2009,02-336-6789,서울특별시 마포구 서교동 363-4
hallyu_samgyetang,Hallyu Samgyetang,한류삼계탕,"서울특별시 마포구 와우산로 151, 지1층 (서교동)",37.554673,126.929751,Korean - Samgyetang,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,y,30,181.67,689,2023,,서울특별시 마포구 서교동 327-14
,,수정옥돌 生 소금구이,"서울특별시 마포구 동교로23길 21, 1층 (동교동)",37.55692,126.92027,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,31,181.2,414,2026,,서울특별시 마포구 동교동 205-8
,,게판,"서울특별시 마포구 잔다리로 6, 1층 (서교동)",37.550921,126.922529,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,32,178.27,694,2025,,서울특별시 마포구 서교동 363-5
,,엉터리생고기무한리필(홍대점),"서울특별시 마포구 어울마당로 118 (서교동, 2층)",37.555056,126.923458,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,33,171.95,224,2012,,서울특별시 마포구 서교동 345-2
,,주막,"서울특별시 마포구 동교로23길 64, 1층 (연남동)",37.558566,126.918947,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,34,171.36,587,2018,,서울특별시 마포구 연남동 570-1
,,백년백세,"서울특별시 마포구 양화로 118, 1층동 (서교동)",37.553825,126.920217,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,35,169.55,548,1994,02-325-3399,서울특별시 마포구 서교동 354-12 1층동
,,홍대 교도리,"서울특별시 마포구 와우산로 77, 1층 (서교동)",37.551376,126.92305,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,36,165.25,633,2024,,서울특별시 마포구 서교동 362-6
,,한우다움 홍대본점,"서울특별시 마포구 양화로16길 34, 2,3층 (서교동)",37.552873,126.921331,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,37,160.47,546,2026,,서울특별시 마포구 서교동 369-41
,,만족오향족발(홍대역점),"서울특별시 마포구 동교로 191 (동교동,외1필지)",37.557602,126.922413,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,38,158.68,188,2001,02-335-3487,서울특별시 마포구 동교동 200-30 외1필지
,,파이널나인 서울홍대점,"서울특별시 마포구 잔다리로 8, 화진빌딩 3층 (서교동)",37.550901,126.922274,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,39,157.68,704,2021,,서울특별시 마포구 서교동 363-6 화진빌딩
,,일심장어 주식회사,"서울특별시 마포구 동교로 219, 1층 (동교동)",37.55967,126.923523,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,40,157.56,301,2017,,서울특별시 마포구 동교동 198-31
,,쌥 이리,"서울특별시 마포구 월드컵북로2길 25, 1층 (동교동)",37.556473,126.922095,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,41,155.09,219,2010,02-6376-0999,서울특별시 마포구 동교동 161-15
,,신선화로(홍대점),"서울특별시 마포구 어울마당로 136-2 (서교동,1,2층)",37.555906,126.925073,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,42,155.0,170,2004,02-324-9858,"서울특별시 마포구 서교동 347-29 1,2층"
,,복이 있는 달(복달),"서울특별시 마포구 잔다리로 8-6, 1층 (서교동)",37.551041,126.92228,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,43,154.81,688,2025,,서울특별시 마포구 서교동 363-7
,,옥돈 홍대점,"서울특별시 마포구 양화로 99, 1층 102호 (서교동)",37.553058,126.918217,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,44,154.0,777,2023,,서울특별시 마포구 서교동 374-10
,,이대조 뼈다귀,"서울특별시 마포구 동교로 196, 1층 (동교동)",37.557486,126.922963,Korean - 한식,,public_data,https://www.localdata.go.kr/,2026-08-17,hanjoon,true,,45,153.0,127,2003,0231436638,서울특별시 마포구 동교동 158-20
